key,title,journal,authors,notes
rayyan-364026504,House sparrow (Passer domesticus) habitat use in urbanized landscapes,JOURNAL OF ORNITHOLOGY,"Chamberlain, Dan E. and Toms, Mike P. and Cleary-McHarg, Rosie and Banks, Alex N.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026517,"The causal response of avian communities to suburban development: a quasi-experimental, longitudinal study",URBAN ECOSYSTEMS,"Marzluff, John M. and Clucas, Barbara and Oleyar, M. David and DeLap, Jack","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026519,"The avifaunas of some fragmented, periurban, coastal woodlands in south-eastern Australia",LANDSCAPE AND URBAN PLANNING,"Yeoman, F and Mac Nally, R","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026527,"Avian response to urbanization in the arid riparian context of Reno, USA",LANDSCAPE AND URBAN PLANNING,"Trammell, E. Jamie and Weisberg, Peter J. and Bassett, Scott","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026530,Mismatch between bird species sensitivity and the protection of intact habitats across the Americas,ECOLOGY LETTERS,"Cazalis, Victor and Barnes, Megan D. and Johnston, Alison and Watson, James E. M. and Sekercioglu, Cagan H. and Rodrigues, Ana S. L.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026531,Dead tree branches in urban forests and private gardens are key habitat components for woodpeckers in a city matrix,LANDSCAPE AND URBAN PLANNING,"Froehlich, Arkadiusz and Ciach, Michal","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026538,"Regional habitat needs of a nationally listed species, Canada Warbler (Cardellina canadensis), in Alberta, Canada",AVIAN CONSERVATION AND ECOLOGY,"Ball, Jeffrey R. and Solymos, Peter and Schmiegelow, Fiona K. A. and Hache, Samuel and Schieck, Jim and Bayne, Erin","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026560,"Land use and habitat gradients determine bird community diversity and abundance in suburban, rural and reserve landscapes of Minnesota, USA",BIOLOGICAL CONSERVATION,"Chapman, Kim Alan and Reich, Peter B.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026573,Importance of an urban pine barrens for the conservation of early-successional shrubland birds,LANDSCAPE AND URBAN PLANNING,"Gifford, Neil A. and Deppen, Jamie M. and Bried, Jason T.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026635,Bird community responses to the edge between suburbs and reserves,OECOLOGIA,"Ikin, Karen and Barton, Philip S. and Knight, Emma and Lindenmayer, David B. and Fischer, Joern and Manning, Adrian D.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026651,Using Vegetation Guilds to Predict Bird Habitat Characteristics in Riparian Areas,WETLANDS,"Cubley, Erin S. and Bateman, Heather L. and Merritt, David M. and Cooper, David J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026656,The vegetation requirements of Superb Fairy-wrens (Malurus cyaneus) in non-urban edge and urbanised habitats,EMU-AUSTRAL ORNITHOLOGY,"Parsons, Holly and French, Kristine and Major, Richard E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026665,Using bird-habitat relationships to inform urban planning,LANDSCAPE AND URBAN PLANNING,"Stagoll, Karen and Manning, Adrian D. and Knight, Emma and Fischer, Joern and Lindenmayer, David B.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026671,"Impacts of urban sprawl on species richness of plants, butterflies, gastropods and birds: not only built-up area matters",URBAN ECOSYSTEMS,"Concepcion, Elena D. and Obrist, Martin K. and Moretti, Marco and Altermatt, Florian and Baur, Bruno and Nobis, Michael P.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026703,Area-sensitivity by forest songbirds: theoretical and practical implications of scale-dependency,ECOGRAPHY,"Desrochers, Andre and Renaud, Christine and Hochachka, Wesley M. and Cadman, Mike","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026706,"Bird alpha, beta and functional diversities across three peri-urban woodland stands along an anthropogenic disturbance gradient: is formal protection a guarantee for ecological integrity?",GLOBAL ECOLOGY AND CONSERVATION,"Otieno, Nickson Erick and Mutati, Alex","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026738,"Do regional gradients in land-use influence richness, composition and turnover of bird assemblages in small woods?",BIOLOGICAL CONSERVATION,"Bennett, AF and Hinsley, SA and Bellamy, PE and Swetnam, RD and Mac Nally, R","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026746,Expert-based and correlative models to map habitat quality: Which gives better support to conservation planning?,GLOBAL ECOLOGY AND CONSERVATION,"Di Febbraro, M. and Sallustio, L. and Vizzarri, M. and De Rosa, D. and De Lisio, L. and Loy, A. and Eichelberger, B. A. and Marchetti, M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026784,Corine land cover changes during the period 1990-2000 in the most important areas for birds in Croatia,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,"Radovic, Andreja and Bukovec, Dragan and Tvrtkovic, Nikola and Tepic, Natasa","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026818,Characteristics of urban woodlands affecting breeding bird diversity and abundance,,"Tilghman, N.G.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026821,"Migratory movements of peregrine falcons falco peregrinus, breeding on the Yamal Peninsula, Russia",,"Sokolov, V., Sokolov, A., Dixon, A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026824,A population model of the endangered Hawaiian dark-rumped petrel.,,"Simons, T.R.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364026828,Does exurban housing development affect the physiological condition of forest-breeding songbirds? A case study of ovenbirds (Seiurus aurocapillus) in the largest protected area in the contiguous United States,,"Seewagen, C.L., Glennon, M., Smith, S.B.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-527597299,Use of corridor-like landscape structures by bird and small mammal species,Biological Conservation,"Bolger, Douglas and Scott, T. and Rotenberry, John","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-527597306,Changes in Bird Functional Diversity across Multiple Land Uses: Interpretations of Functional Redundancy Depend on Functional Group Identity,PLoS ONE,"Luck, Gary W. and Carter, Andrew and Smallbone, Lisa and Davies, Zoe G. Editor","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025475,Heronry distribution and site preference dynamics of tree-nesting colonial waterbirds in Tamil Nadu,PEERJ,"Frank, Sadrack Jabaraj Dhanaraj and Gopi, Govindan Veeraswami and P and av, Bivash","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025486,DOES THE DISTANCE TO FORESTS OR BUILDINGS INFLUENCE GREAT KISKADEE (PITANGUS SULPHURATUS) NESTING SITE SELECTION?,ORNITOLOGIA NEOTROPICAL,"Corrales-Moya, Josue and S and oval, Luis","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025495,Identification of the relationship between urbanization and bird nest migration using buffer and similarity analyses,SUSTAINABLE CITIES AND SOCIETY,"Tsai, Kang-Ting and Tung, Chien-Hung and Deng, Ming-Jay and Lin, Yu-Hao","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025498,Landscape composition governs the abundance patterns of native and invasive Columbidae species along an urban-rural gradient and contribute to their partitioning,BIOLOGICAL INVASIONS,"Saad, Nasrine and Hanane, Saad and El Hak Khemis, Mohamed Dhaya and Farhi, Kamilia","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025501,Interpreting biogeographical boundaries among Afrotropical birds: spatial patterns in richness gradients and species replacement,JOURNAL OF BIOGEOGRAPHY,"Williams, PH and de Klerk, HM and Crowe, TM","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025575,"Exotic parrots breeding in urban tree cavities: nesting requirements, geographic distribution, and potential impacts on cavity nesting birds in southeast Florida",AVIAN RESEARCH,"Diamond, Joshua M. and Ross, Michael S.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025638,How to Become a Generalist Species? Individual Niche Variation Across Habitat Transformation Gradients,FRONTIERS IN ECOLOGY AND EVOLUTION,"Liang, Dan and Yang, Shengnan and Pagani-Nunez, Emilio and He, Chao and Liu, Yang and Goodale, Eben and Liao, Wen Bo and Hu, Junhua","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025660,Factors influencing the distribution of the invasive house crow (Corvus splendens) in rural and urban landscapes,URBAN ECOSYSTEMS,"Wilson, Robyn Fay and Sarim, Dillon and Rahman, Sadequr","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025732,Acoustic preadaptation to transmit vocal individuality of savanna nightjars in noisy urban environments,SCIENTIFIC REPORTS,"Liang, Shih-Hsiung and Walther, Bruno Andreas and Jen, Chia-Hung and Chen, Chao-Chieh and Chen, Yi-Chih and Shieh, Bao-Sen","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025781,Changes in nesting sites abundance and their use by woodpeckers along an urban gradient: a ten-year comparison,REVISTA DE BIOLOGIA TROPICAL,"Protti-Sanchez, Francesca and S and oval, Luis","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025821,"Habitat use of raptors in response to anthropogenic land use on Bonaire and Curacao, Netherlands Antilles",CARIBBEAN JOURNAL OF SCIENCE,"Nijman, Vincent and Booij, Janet and Flikweert, Maarten and Aliabadian, Mansour and de Freitas, John A. and Vonk, Ronald and Prins, Tineke G.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025870,Urbanization has opposite effects on the territory size of two passerine birds,AVIAN RESEARCH,"Juarez, Roselvy and Chacon-Madrigal, Eduardo and S and oval, Luis","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025887,Distribution of tree-hollows and hollow preferences by parrots in an urban landscape,EMU,"Davis, Adrian and Major, Richard E. and Taylor, Charlotte E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025955,Bird-flower interactions in an urban area: Ceiba pubiflora provides nectar and promotes biodiversity in the city,URBAN FORESTRY \& URBAN GREENING,"Silva, Paulo Antonio","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364025974,Breeding in a noisy world: Attraction to urban arterial roads and preference for nest-sites by the scaly-breasted munia (Lonchura punctulata),GLOBAL ECOLOGY AND CONSERVATION,"Zhou, Bo and Liu, Jinmei and Liang, Wei","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026069,"New insights on the rarity of the vulnerable Cinereous Warbling-finch (Aves, Emberizidae) based on density, home range, and habitat selection",BRAZILIAN JOURNAL OF BIOLOGY,"Marques-Santos, F. and Wischhoff, U. and Rodrigues, M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026281,Distribution and abundance of hollow-bearing trees in urban forest fragments,URBAN FORESTRY \& URBAN GREENING,"Treby, Donna Louise and Castley, James Guy","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026287,Bird community responses along urban-rural gradients: Does the size of the urbanized area matter?,LANDSCAPE AND URBAN PLANNING,"Garaffa, Pablo I. and Filloy, Julieta and Bellocq, M. Isabel","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026424,HOW STRESSED ARE BIRDS IN AN URBANIZING LANDSCAPE? RELATIONSHIPS BETWEEN THE PHYSIOLOGY OF BIRDS AND THREE LEVELS OF HABITAT ALTERATION,CONDOR,"Chavez-Zichinelli, Carlos A. and MacGregor-Fors, Ian and Quesada, Javier and Rohana, Patricia Talamas and Romano, Marta C. and Valdez, Ricardo and Schondube, Jorge E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026455,Preservation of historical heritage increases bird biodiversity in urban centers,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,"Bhakti, Tulaci and Rossi, Fern and a and de Oliveira Mafia, Pedro and de Almeida, Eduardo Franco and Fujaco, Maria Augusta Goncalves and de Azevedo, Cristiano Schetini","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026478,Does urbanization affect the seasonal dynamics of bird communities in urban parks?,URBAN ECOSYSTEMS,"Leveau, Lucas M. and Leveau, Carlos M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026492,Vacant lands as refuges for native birds: An opportunity for biodiversity conservation in cities,URBAN FORESTRY \& URBAN GREENING,"Villasenor, Nelida R. and Chiang, Luna A. and Jaime Hern and ez, H. and Escobar, Martin A. H.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026493,Cemeteries and biodiversity conservation in cities: how do landscape and patch-level attributes influence bird diversity in urban park cemeteries?,URBAN ECOSYSTEMS,"Villasenor, Nelida R. and Escobar, Martin A. H.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026496,A STUDY ON THE AVIAN (PASSERINE) DIVERSITY OF LAHORE,JOURNAL OF ANIMAL AND PLANT SCIENCES,"Fazal, S. and Ali, Z. and Manzoor, F. and Nazir, A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026545,"Impacts of urbanisation on the native avifauna of Perth, Western Australia",URBAN ECOSYSTEMS,"Davis, Robert A. and Gole, Cheryl and Roberts, J. Dale","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026549,Spatial variations of bird occupancy in Delhi: The significance of woodland habitat patches in urban centres,URBAN FORESTRY \& URBAN GREENING,"Tiwary, N. K. and Urfi, A. J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026574,Environmental and socio-economic factors related to urban bird communities,AUSTRAL ECOLOGY,"Luck, Gary W. and Smallbone, Lisa T. and Sheffield, Kathryn J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026592,Urbanization and mismatch with protected areas place the conservation of a threatened species at risk,BIOTROPICA,"Uehara-Prado, Marcio and Fonseca, Rafael Luis","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026593,"Long-term dynamics of bird diversity in forest and suburb: decay, turnover or homogenization?",DIVERSITY AND DISTRIBUTIONS,"Catterall, Carla P. and Cousin, Jarrad A. and Piper, Scott and Johnson, Gayle","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026597,"Can aggregated patterns of urban woody vegetation cover promote greater species diversity, richness and abundance of native birds?",URBAN FORESTRY \& URBAN GREENING,"Villasenor, Nelida R. and Escobar, Martin A. H. and Jaime Hern and ez, H.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026610,Does variation in garden characteristics influence the conservation of birds in suburbia?,BIOLOGICAL CONSERVATION,"Daniels, G. D. and Kirkpatrick, J. B.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026613,Birds and small urban parks: a study in a high plateau city,TURKISH JOURNAL OF ZOOLOGY,"Peris, Salvador and Montelongo, Tinguaro","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026625,The conservation value of suburban golf courses in a rapidly urbanising region of Australia,LANDSCAPE AND URBAN PLANNING,"Hodgkison, S. C. and Hero, J. -M. and Warnken, J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026641,Gray vs. green urbanization: Relative importance of urban features for urban bird communities,BASIC AND APPLIED ECOLOGY,"MacGregor-Fors, Ian and Schondube, Jorge E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026675,Estimating the impacts of habitat loss induced by urbanization on bird local extinctions,BIOLOGICAL CONSERVATION,"Dri, Gabriela Franzoi and Fontana, Carla Suertegaray and Dambros, Cristian de Sales","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026692,Species of street tree is important for southern hemisphere bird trophic guilds,AUSTRAL ECOLOGY,"Young, Karen M. and Daniels, Christopher B. and Johnston, Greg","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026704,CONSERVATION VALUE TO BIRDS OF REMNANTS OF MELALEUCA FOREST IN SUBURBAN BRISBANE,WILDLIFE RESEARCH,"GROVER, DR and SLATER, PJ","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026774,Primary productivity in cities and their influence over subtropical bird assemblages,URBAN FORESTRY \& URBAN GREENING,"Haedo, Josefina and Gioia, Antonela and Araoz, Ezequiel and Paolini, Leonardo and Malizia, Agustina","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026813,Bird fauna in the urban habitats of Hubi and Dharwad.,,"Uttangi, J.C.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026842,The role of invasion and urbanization gradients in shaping avian community composition,,"Rogers, A.M., Griffin, A.S., Lermite, F., Van Rensburg, B., Archibald, C., Kark, S.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026861,"Environmental and anthropogenic impacts on avifaunal assemblages in an Urban Parkland, 1976 to 2007",,"Ormond, S.E., Whatmough, R., Hudson, I.L., Daniels, C.B.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026884,Implications of patch size and landscape matrix towards native-forest bird species in fragmented forests,,"Mohd-Taib, F.S., Md-Nor, S., Abdullah, S.A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026890,Urban cemeteries as habitat for birds,,"Meltriana, A., Mardiastuti, A., Mulyani, Y.A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026894,Bird Diversity Patterns along Urbanization Gradients: Some Recommendations for Landscape Planner,,"Mardiastuti, A., Putra, M.S.K., Mulyani, Y.A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026896,Bird community changes across gradient of habitat quality in the urban green open space,,"Mardiastuti, A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026905,"City """"green"""" contributions: The role of urban greenspaces as reservoirs for biodiversity",,"MacGregor-Fors, I., Escobar, F., Rueda-Hernández, R., Avendaño-Reyes, S., Baena, M.L., Bandala, V.M., Chacón-Zapata, S., Guillén-Servent, A., González-García, F., Lorea-Hernández, F., de Oca, E.M., Montoya, L., Pineda, E., Ramírez-Restrepo, L., Rivera-García, E., Utrera-Barrillas, E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-527597303,Effects of structural and functional connectivity and patch size on the abundance of seven Atlantic Forest bird species,Biological Conservation,"Uezu, Alexandre and Metzger, Jean Paul and Vielliard, Jacques M.E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate"
rayyan-364026599,How to Support Avian Diversity in an Urban Landscape: A Bibliography,JOURNAL OF PLANNING LITERATURE,"Urbanova, Tereza","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,relevant review"
rayyan-364026909,The avifauna of urban green areas in Poland and possibilities of managing it.,,"Luniak, M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,inaccessible"
rayyan-364025453,Possible effects of the electromagnetic waves used in the wireleys telephony on wildlife,ARDEOLA-INTERNATIONAL JOURNAL OF ORNITHOLOGY,"Balmori, A","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025508,What makes a species synurbic?,APPLIED GEOGRAPHY,"Francis, Robert A. and Chadwick, Michael A.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025632,Changes in distribution and abundance of the Loggerhead Shrike,CONSERVATION BIOLOGY,"Cade, TJ and Woods, CP","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025869,Credit or debit? Resource input changes population dynamics of city-slicker birds,OIKOS,"Shochat, E","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026034,Anthropogenic Noise Mapping of a Periurban Natural Park on the Coastal Area in the SW of Spain: Case Study of Bird's Ecosystem Protection,ACTA ACUSTICA UNITED WITH ACUSTICA,"Luis Cueto, Jose and Bienvenido-Huertas, David and Fern and ez-Zacarias, Francisco and Gey, Ricardo and Hern and ez-Molina, Ricardo","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026036,URBAN BIRD ECOLOGY AND CONSERVATION,QUARTERLY REVIEW OF BIOLOGY,"S and ercock, Brett K.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026172,The Bird-Friendly City: Creating Safe Urban Habitats,JOURNAL OF FIELD ORNITHOLOGY,"Davis, Courtney L.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026239,Biodiversity dataset of vascular plants and birds in Chinese urban greenspace,ECOLOGICAL RESEARCH,"Wang, Xin and Liu, Jun and Liang, Chenxia and Zhao, Zhichun and Feng, Gang and Zhang, Jian","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026257,Impacts of urbanization on plant and bird communities in forest ecosystems,FORESTRY CHRONICLE,"Friesen, L","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026645,Changes in bird abundance in eastern North America: Urban sprawl and global footprint?,BIOSCIENCE,"Valiela, Ivan and Martinetto, Paulina","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026802,Surviving urbanisation: Maintaining bird species diversity in urban Melbourne,,"White, J.G., Fitzsimons, J.A., Palmer, G.C., Antos, M.J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026811,Impact of outdoor recreation on the density of a number of breeding bird species in woods adjacent to urban residential areas,,"van der Zande, A.N., Berkhuizen, J.C., van Latesteijn, H.C., ter Keurs, W.J., Poppelaars, A.J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026820,Species richness and species of conservation concern in parks of Italian towns,,"Sorace, A., Gustin, M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026822,Avian characteristics of an urban riparian strip corridor,,"Smith, R.J., Schaefer, J.M.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026827,Bird-friendly buildings for China's cities,,"Sills, J., Yang, H., Huang, X., Thompson, J.R., Flower, R.J.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026846,Wildlife friendly roads: The impacts of roads on wildlife in urban areas and potential remedies,,"Riley, S.P.D., Brown, J.L., Sikich, J.A., Schoonmaker, C.M., Boydston, E.E.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026850,A holistic look on birds in urban areas,,"Ramanan, S.S., Upadhyay, L.","RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
